;;;;;;;;;;;;;;F;F;F;;;;;;;;F;;;;F;;;F;;;F;F;F;F;;;;;;F;;F
;s0;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30;s31;s32;s33;s34;s35;s36;s37;s38;s39;s40;s41;s42;s43;s44
I;s4;;;;;;;;;;;;;;;;;;;;;s29;;;;;;;;;;;;;;;;;;;;;;;
D;;;;;;;;;;;;;s23;;;;;;;;;;;;;;;;;;;;;;;;;s39;;;;;;;
T;s7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L;;;;s11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;;s9;;;;s15;s16;;;s20;;;;;;;;;;s27;;;;;;;;;;;;;s38;;;;;;;;;s43;;;
V;s8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O;s5;;;;;;;;;;;;;;;;s24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;;;;;s13;s14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;;;;;;;;;;;;;;;;;;;;;;;;;s31;;;;;;;;;;;;;;;;;;;;
Y;;;;;;;;s18;;;;;;;;;;;;;;;;;;;;;s35;;;;;;;;;;;;;;;;
G;;;;;;;;;;;s21;;;;;;;;;;;;;;s32;;;;;;;;;;;;;;;;;;;;
H;;;;;;;;s17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;s1;;;;;;;;s19;;;;;;;;;;;;s28;;;;;;;;;;;;;;;;;;s40;;;;;;
U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s41;;;;;
P;s6;;;;;;;;;;;;;;;;;;s26;;;;;;;;;;;;;;;;;;;;;;;;;;
B;s2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s42;;;;
N;;;;s12;;;;;;;;;;;;;;;;;;;;;;s33;;;;s36;;;;;;;;;;;;;;;
E;s3;;s10;;;;;;;;;;;;;;;s25;;;;;s30;;;;s34;;;;;s37;;;;;;;;;;;;s44;
S;;;;;;;;;;;;s22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
